shinhan-deep-oil (신한카드 Deep Oil, 연회비 10000, active)
kb-my-wesh (KB국민 My WE:SH 카드, 연회비 15000, active)
hyundai-the-red-mileage (현대카드 the Red (항공 마일리지형), 연회비 300000, active)
shinhan-mr-life (신한카드 Mr.Life, 연회비 15000, active)
shinhan-cheoeum (신한카드 처음, 연회비 15000, active)
shinhan-air-one (신한카드 Air One, 연회비 49000, active)
shinhan-b-big (신한카드 B.Big, 연회비 0, active)
shinhan-simple-plus (신한카드 Simple+, 연회비 10000, discontinued)
shinhan-point-plan-plus (신한카드 Point Plan+, 연회비 30000, active)
shinhan-globus (신한카드 Globus, 연회비 22000, active)
shinhan-edu-plan-plus (신한카드 Edu Plan+, 연회비 40000, active)
shinhan-the-classic-s (신한카드 The CLASSIC-S, 연회비 97000, active)
kb-skypass (KB국민 스카이패스카드, 연회비 20000, active)
kb-gaon (KB국민 가온카드, 연회비 5000, active)
kb-cheongchundaero-toktok (KB국민 청춘대로 톡톡카드, 연회비 4000, active)
kb-cheongchundaero-kkulshopping-alpha (KB국민 청춘대로 꿀쇼핑α카드, 연회비 15000, discontinued)
kb-goodday (KB국민 굿데이카드, 연회비 1000, active)
kb-tantandaero-auto (KB국민 탄탄대로 오토카드, 연회비 50000, active)
kb-goldenlife-olim (KB국민 골든라이프올림카드, 연회비 9000, active)
kb-tantandaero-allshopping (KB국민 탄탄대로 올쇼핑카드, 연회비 9000, discontinued)
samsung-taptap-o (삼성카드 taptap O, 연회비 10000, active)
samsung-id-on (삼성 iD ON 카드, 연회비 20000, active)
samsung-mileage-platinum (삼성카드 & MILEAGE PLATINUM (스카이패스), 연회비 47000, active)
samsung-amex-blue (삼성카드 American Express Blue, 연회비 15000, active)
samsung-id-simple (삼성 iD SIMPLE 카드, 연회비 7000, active)
samsung-id-select-all (삼성 iD SELECT ALL 카드, 연회비 20000, active)
samsung-taptap-digital (삼성카드 taptap DIGITAL, 연회비 10000, active)
hyundai-zero-edition3-discount (현대카드 ZERO Edition3(할인형), 연회비 15000, active)
hyundai-z-work-edition2 (현대카드 Z work Edition2, 연회비 20000, active)
hyundai-z-family-edition2 (현대카드 Z family Edition2, 연회비 20000, active)
hyundai-z-play (현대카드 Z play, 연회비 20000, active)
hyundai-m (현대카드M, 연회비 30000, active)
hyundai-koreanair-060 (현대카드 대한항공카드 060, 연회비 60000, active)
hyundai-x (현대카드X, 연회비 50000, active)
lotte-loca-365 (롯데카드 LOCA 365, 연회비 20000, active)
lotte-loca-classic (롯데카드 LOCA CLASSIC, 연회비 20000, active)
lotte-loca-for-auto (롯데카드 LOCA for Auto, 연회비 20000, active)
lotte-loca-for-health (롯데카드 LOCA for Health, 연회비 20000, active)
lotte-loca-platinum-mileage (롯데카드 LOCA PLATINUM 마일리지형, 연회비 100000, active)
woori-every-discount (우리카드 카드의정석 EVERY DISCOUNT, 연회비 12000, active)
woori-d4-jeongseok (우리카드 D4@카드의정석, 연회비 9000, active)
woori-nu-iu (우리카드 NU I&U, 연회비 12000, active)
woori-every-mile-skypass (우리카드 카드의정석 EVERY MILE SKYPASS, 연회비 39000, active)
hana-1q-daily (하나카드 하나멤버스 1Q 카드 Daily, 연회비 8000, active)
hana-multi-living (하나카드 MULTI Living, 연회비 12000, active)
hana-travelog-check (하나 트래블로그 체크카드, 연회비 0, active)
hana-travelog-skypass (하나카드 트래블로그 SKYPASS 신용카드, 연회비 48000, active)
nh-allone-pi (NH농협카드 NH올원 파이카드, 연회비 10000, active)
nh-zgm-playplus (NH농협 zgm.play++카드, 연회비 63000, active)
nh-ryan-cheese-check (NH농협카드 라이언 치즈 체크카드, 연회비 0, active)
bc-baro-clear-plus (BC 바로 클리어 플러스, 연회비 5000, active)
kbank-one-check (케이뱅크 ONE 체크카드, 연회비 0, active)
shinhan-edu (신한카드 Edu, 연회비 20000, active)
hyundai-h (현대카드 H, 연회비 15000, active)
woori-loca-apt-platinum (카드의정석 APT Platinum, 연회비 29000, active)
kb-need-edu (KB NEED Edu카드, 연회비 25000, active)
ibk-naui-alpha-edu (나의알파 캐시백 에듀카드, 연회비 5000, active)
bnk-gyeongnam-kpass-check ([BNK경남] 경남은행 K-패스 체크카드, 연회비 0, active)
kb-skypass-platinum (KB국민 스카이패스 플래티늄카드, 연회비 120000, active)
kb-skypass-platinum-s (KB국민 스카이패스 플래티늄S카드, 연회비 40000, active)
nh-chaeum-skypass (NH농협카드 채움 스카이패스카드, 연회비 15000, active)
woori-jeongseok-premium-mileage-asiana (우리카드 카드의 정석 프리미엄 마일리지(아시아나), 연회비 135000, excluded)
shinhan-the-best-plus (신한카드 The BEST+, 연회비 295000, active)
samsung-taptap-drive (삼성카드 taptap DRIVE, 연회비 10000, active)
hana-club-sk (하나카드 CLUB SK, 연회비 6000, active)
shinhan-sol-travel-check (신한카드 SOL트래블 체크, 연회비 0, active)
samsung-id-all (삼성 iD ALL 카드, 연회비 20000, active)
samsung-id-move (삼성 iD MOVE 카드, 연회비 20000, active)
samsung-id-pet (삼성 iD PET 카드, 연회비 15000, active)
samsung-card4-v4 (삼성카드 4 V4, 연회비 20000, active)
hyundai-zero-edition3-points (현대카드 ZERO Edition3(포인트형), 연회비 15000, active)
hyundai-the-green-edition3 (현대카드 the Green Edition3, 연회비 150000, active)
hyundai-the-pink-edition2 (현대카드 the Pink Edition2, 연회비 150000, active)
hyundai-x-edition2 (현대카드X Edition2, 연회비 15000, active)
shinhan-hey-young-check (신한카드 Hey Young 체크카드, 연회비 0, discontinued)
