total 60, unverified 44
V  62 kbank-one-check | 케이뱅크 ONE 체크카드 (케이뱅크)
-  51 kb-gaon | KB국민 가온카드 (KB국민카드)
V  45 samsung-id-simple | 삼성 iD SIMPLE 카드 (삼성카드)
-  37 hyundai-zero-edition3-points | 현대카드 ZERO Edition3(포인트형) (현대카드)
V  30 bc-baro-clear-plus | BC 바로 클리어 플러스 (BC카드)
V  18 kb-cheongchundaero-toktok | KB국민 청춘대로 톡톡카드 (KB국민카드)
-  17 samsung-taptap-digital | 삼성카드 taptap DIGITAL (삼성카드)
-  16 kakaobank-friends-check | 카카오뱅크 프렌즈 체크카드 (카카오뱅크)
V  16 samsung-id-select-all | 삼성 iD SELECT ALL 카드 (삼성카드)
-  14 hyundai-x | 현대카드X (현대카드)
-  13 hana-1q-daily | 하나카드 하나멤버스 1Q 카드 Daily (하나카드)
V  13 woori-every-discount | 우리카드 카드의정석 EVERY DISCOUNT (우리카드)
-  12 samsung-taptap-o | 삼성카드 taptap O (삼성카드)
V  12 samsung-amex-blue | 삼성카드 American Express Blue (삼성카드)
-  11 nh-ryan-cheese-check | NH농협카드 라이언 치즈 체크카드 (NH농협카드)
-  10 kb-tantandaero-allshopping | KB국민 탄탄대로 올쇼핑카드 (KB국민카드)
-   8 shinhan-shinsegae-best-fit | 신한카드 신세계 Best Fit (신한카드)
-   8 bnk-gyeongnam-kpass-check | [BNK경남] 경남은행 K-패스 체크카드 (경남은행)
-   8 kb-coupang-wow | KB국민 쿠팡 와우카드 (KB국민카드)
-   7 shinhan-deep-oil | 신한카드 Deep Oil (신한카드)
V   7 kb-goodday | KB국민 굿데이카드 (KB국민카드)
-   7 shinhan-b-big | 신한카드 B.Big (신한카드)
V   6 nh-allone-pi | NH농협카드 NH올원 파이카드 (NH농협카드)
V   5 kb-skypass | KB국민 스카이패스카드 (KB국민카드)
-   5 kb-goldenlife-olim | KB국민 골든라이프올림카드 (KB국민카드)
-   5 shinhan-hey-young-check | 신한카드 Hey Young 체크카드 (신한카드)
-   5 hana-travelog-check | 하나 트래블로그 체크카드 (하나카드)
-   4 kb-tmap | TMAP KB국민카드 (KB국민카드)
-   4 kb-need-autoslim | KB국민 NEED AutoSlim카드 (KB국민카드)
-   4 samsung-id-on | 삼성 iD ON 카드 (삼성카드)
-   4 samsung-id-pet | 삼성 iD PET 카드 (삼성카드)
-   4 kb-woongjin-thinkbig | KB국민 웅진씽크빅 카드 (KB국민카드)
-   4 kb-milkt | KB국민 밀크T 카드 (KB국민카드)
-   4 kb-visang-onlyone | KB국민 비상온리원 카드 (KB국민카드)
-   4 woori-loca-apt-platinum | 카드의정석 APT Platinum (우리카드)
V   4 woori-nu-iu | 우리카드 NU I&U (우리카드)
-   4 shinhan-emart | 신한카드 이마트 (신한카드)
-   4 hyundai-naver-edition2 | 네이버 현대카드 Edition2 (현대카드)
V   4 hyundai-m | 현대카드M (현대카드)
-   3 nh-chaeum-skypass | NH농협카드 채움 스카이패스카드 (NH농협카드)
-   3 samsung-mileage-platinum | 삼성카드 & MILEAGE PLATINUM (스카이패스) (삼성카드)
-   3 kb-sk-energy-loveyou | SK에너지 러브유 KB국민카드 (KB국민카드)
-   3 ibk-naui-alpha-edu | 나의알파 캐시백 에듀카드 (IBK기업은행)
-   3 shinhan-deep-dream-check | 신한카드 Deep Dream 체크카드 (신한카드)
-   2 woori-jeongseok-premium-mileage-asiana | 우리카드 카드의 정석 프리미엄 마일리지(아시아나) (우리카드)
-   2 woori-every-mile-skypass | 우리카드 카드의정석 EVERY MILE SKYPASS (우리카드)
-   2 samsung-taptap-drive | 삼성카드 taptap DRIVE (삼성카드)
-   2 woori-d4-jeongseok | 우리카드 D4@카드의정석 (우리카드)
V   2 shinhan-cheoeum | 신한카드 처음 (신한카드)
-   2 kb-cheongchundaero-kkulshopping-alpha | KB국민 청춘대로 꿀쇼핑α카드 (KB국민카드)
-   2 shinhan-mr-life | 신한카드 Mr.Life (신한카드)
-   2 hyundai-h | 현대카드 H (현대카드)
-   2 hyundai-koreanair-060 | 현대카드 대한항공카드 060 (현대카드)
-   2 hyundai-costco-reward-edition2 | 코스트코 리워드 현대카드 Edition2 (현대카드)
-   1 kb-skypass-platinum-s | KB국민 스카이패스 플래티늄S카드 (KB국민카드)
V   1 kb-tantandaero-auto | KB국민 탄탄대로 오토카드 (KB국민카드)
-   1 nh-zgm-playplus | NH농협 zgm.play++카드 (NH농협카드)
V   1 shinhan-air-one | 신한카드 Air One (신한카드)
-   1 shinhan-sol-travel-check | 신한카드 SOL트래블 체크 (신한카드)
V   1 hana-travelog-skypass | 하나카드 트래블로그 SKYPASS 신용카드 (하나카드)
